line_number	field_count	reason	raw_preview
112328	16	16_fields_missing_information	-2.9500   35.2750 0.5317974091     0.4086303711      290.7592773     0.8354879618      2.134813309     0.5880889893      4.991761208     -3.780288696 
112424	16	16_fields_missing_information	-17.5000   31.9250 -7.513435364     -3.753189087      293.0632324     0.7368763685     -2.440934181     -5.805099487     -7.778503418     -4.241256714
113514	16	16_fields_missing_information	-5.1500   33.5000 0.5768213272     0.5639953613      288.0546875     0.6358445771     0.3933925629     0.2844152451     0.5649108887     0.3793029785 
115178	16	16_fields_missing_information	-6.4000   32.3500 -.2848005295     -1.143020630      308.9299316     0.2327975817      1.141309738     -.4711942673     -.4526672363     -1.340774536 
115982	16	16_fields_missing_information	-8.0250   31.6000  2.689849854     -4.153518677      308.3669434     0.2538256794      2.525100708     -2.326324463      3.006484985     -4.512527466 
118490	16	16_fields_missing_information	-15.8500   23.7000 -2.143920898     -9.894642830      292.4208984     0.8955304660     0.9390068054E-01  1.715528488     -7.161285400     -9.858840942
120083	16	16_fields_missing_information	-6.0500   34.2250  5.550018311     -6.921262741      316.1376953     0.2021670602      1.115066528     -3.259252548      3.416519165     -6.932217598 
123258	16	16_fields_missing_information	-13.2000   27.1500 -3.444933891     -3.591480255      296.5905762     0.7471911311      1.007431030     -1.075078011     -.9663085938     -8.037914276
125058	16	16_fields_missing_information	-17.5000   31.6000  1.058380127     -2.456054688      297.2827148     0.8763150424      1.126525879     0.9604930878E-01 -.2812652588     -2.864959717
132580	16	16_fields_missing_information	-13.2000   27.1500 -3.649424553     -6.170104980      293.5529785     0.8622723818     -5.388778687     -1.713560104     -9.233001709     -12.64410400
133768	16	16_fields_missing_information	-9.7750   31.5000 -3.308817863     -8.487625122      290.9208984     0.9901146293     -9.517006874     -8.497049332     -15.04792786     -8.676986694 
134619	16	16_fields_missing_information	-9.5500   30.3750 -3.915182114      2.708114624      292.4699707     0.8885935098     -1.026153564     -4.724720955     -.7136993408     -2.574783325 
140676	16	16_fields_missing_information	-13.2000   27.1500 -2.777579308     -7.574172974      294.5673828     0.8255469799      1.262298584     -11.84504700     -5.237945557     -13.02693176
141481	16	16_fields_missing_information	-5.9000   35.7250  2.126046181     0.5875978470      297.2316895     0.8191155791     -5.538024902     -2.129837036     -5.046966553      1.699218750 
143742	16	16_fields_missing_information	-2.9000   35.1500 -1.030653000     0.7577562332      295.5393066     0.8431562781     -8.188232422     -.6964874268E-01 -7.004226685     -1.303005219 
144602	16	16_fields_missing_information	-9.5500   30.3750 -.4784755707      1.297011375      293.8347168     0.9032669067      1.690597534     -5.303668976     -2.389297485      1.147491455 
145283	16	16_fields_missing_information	-10.0500   29.0000  4.174224854     0.5731506348      303.2304688     0.4733755589      10.53587627      7.320755005      3.979003906     -.8309936523
145388	16	16_fields_missing_information	-6.6000   34.3000  4.899337769     0.6739044189      296.2390137     0.8381650448      2.292495728      1.305206299     -.3670654297     -3.721267700 
152746	16	16_fields_missing_information	-4.4000   31.9250 -.3517580032     0.5498991013      301.8444824     0.2465054393     -4.117020607     -.7407932281     -.2706451416     0.6093597412 
